X,Y,DCGISPLACE_NAMES_PTNAME,DCGISADDRESSES_PTADDRESS,DCGISADDRESSES_PTWARD,DCGISADDRESSES_PTSMD,DCGISADDRESSES_PTANC,MARVW_PLACE_NAME_CATEGORIESCATEGORY,DCGISPLACE_NAMES_PTSTATUS,DCGISPLACE_NAMES_PTPLACE_NAME_ID,DCGISPLACE_NAMES_PTMAR_ID,DCGISPLACE_NAMES_PTBEFORE_DATE,DCGISPLACE_NAMES_PTBEFORE_DATE_SOURCE,DCGISPLACE_NAMES_PTBEGIN_DATE,DCGISPLACE_NAMES_PTBEGIN_DATE_SOURCE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE,DCGISPLACE_NAMES_PTFIRST_KNOWN_DATE_SOURCE,DCGISPLACE_NAMES_PTCREATED_DATE,DCGISPLACE_NAMES_PTLAST_EDITED_DATE,DCGISPLACE_NAMES_PTSE_ANNO_CAD_DATA,DCGISPLACE_NAMES_PTOBJECTID,DCGISADDRESSES_PTOBJECTID,DCGISADDRESSES_PTSE_ANNO_CAD_DATA
-8570330.93589847,4702629.24253957,GO GO MUSEUM AND CAFE,1920 MARTIN LUTHER KING JR AVENUE SE,Ward 8,SMD 8A06,ANC 8A,MUSEUM / ZOO,ACTIVE,23686,53960,,,,,,,2024/11/18 09:11:25+00,,,23467187,167884151,
-8574423.20972613,4709697.31850278,AFRICAN AMERICAN CIVIL WAR MEMORIAL MUSEUM,1925 VERMONT AVENUE NW,Ward 1,SMD 1B02,ANC 1B,MUSEUM / ZOO,ACTIVE,12528,310615,,,,,,,2012/09/14 13:23:10+00,,,23467219,167959362,
-8572511.59672463,4707098.03983258,NATIONAL POSTAL MUSEUM,2 MASSACHUSETTS AVENUE NE,Ward 6,SMD 6E07,ANC 6E,MUSEUM / ZOO,ACTIVE,3023,293217,,,,,,,2005/08/12 16:06:07+00,,,23467315,167917122,
-8572747.68001362,4702403.31299269,MATTHEW HENSON EARTH CONSERVATION CENTER,2000 HALF STREET SW,Ward 6,SMD 6D08,ANC 6D,MUSEUM / ZOO,ACTIVE,10034,277758,,,,,,,2010/12/01 08:48:56+00,,,23467393,167902246,
-8576219.84204232,4706336.58398935,ART MUSEUM OF THE AMERICAS,201 18TH STREET NW,Ward 2,SMD 2A01,ANC 2A,MUSEUM / ZOO,ACTIVE,3379,294191,,,,,,,2005/08/15 11:45:59+00,,,23467484,167916372,
-8576689.37465338,4708554.65745027,O STREET MUSEUM FOUNDATION,2016 O STREET NW,Ward 2,SMD 2B05,ANC 2B,MUSEUM / ZOO,ACTIVE,14676,242704,,,,,,,2015/05/12 15:42:01+00,,,23467549,167853275,
-8576343.28749285,4706564.10363396,DEPARTMENT OF THE INTERIOR MUSEUM,1849 C STREET NW,Ward 2,SMD 2A01,ANC 2A,MUSEUM / ZOO,ACTIVE,9699,293214,,,,,,,2010/09/08 08:40:50+00,,,23466999,167901788,
-8576343.28749285,4706564.10363396,INTERIOR MUSEUM,1849 C STREET NW,Ward 2,SMD 2A01,ANC 2A,MUSEUM / ZOO,ACTIVE,13191,293214,,,,,,,2014/07/30 14:48:28+00,,,23467000,167901788,
-8569023.23223991,4701148.73326521,ANACOSTIA COMMUNITY MUSEUM,1901 FORT PLACE SE,Ward 8,SMD 8B03,ANC 8B,MUSEUM / ZOO,ACTIVE,9801,286524,,,,,,,2010/10/13 10:16:44+00,,,23467094,167877630,
-8576560.18488341,4708509.39806028,HEURICH HOUSE MANSION,1307 NEW HAMPSHIRE AVENUE NW,Ward 2,SMD 2B05,ANC 2B,MUSEUM / ZOO,ACTIVE,2954,241060,,,,,,,2005/08/12 12:56:54+00,2008/10/17 18:34:54+00,,23464418,167833757,
-8576560.18488341,4708509.39806028,CHRISTIAN HEURICH HOUSE MUSEUM,1307 NEW HAMPSHIRE AVENUE NW,Ward 2,SMD 2B05,ANC 2B,MUSEUM / ZOO,ACTIVE,9803,241060,,,,,,,2010/10/13 10:24:44+00,,,23464419,167833757,
